ID,Warehouse_block,Region,Manager,Cost_of_the_Product
2889,A,North,Alice,176
2890,B,East,Bob,149
2891,C,South,Carol,187
2892,F,Central,Eve,150
2893,D,West,David,190
2894,F,Central,Eve,226
2895,A,North,Alice,98
2896,B,East,Bob,152
2897,C,South,Carol,173
2898,F,Central,Eve,160
2899,D,West,David,180
2900,F,Central,Eve,175
2901,A,North,Alice,274
2902,B,East,Bob,216
2903,C,South,Carol,283
2904,F,Central,Eve,192
2905,D,West,David,236
2906,F,Central,Eve,232
2907,A,North,Alice,204
2908,B,East,Bob,138
2909,C,South,Carol,154
2910,F,Central,Eve,244
2911,D,West,David,144
2912,F,Central,Eve,274
2913,A,North,Alice,182
2914,B,East,Bob,250
2915,C,South,Carol,207
2916,F,Central,Eve,242
2917,D,West,David,154
2918,F,Central,Eve,176
2919,A,North,Alice,252
2920,B,East,Bob,147
2921,C,South,Carol,157
2922,F,Central,Eve,257
2923,D,West,David,172
2924,F,Central,Eve,134
2925,A,North,Alice,152
2926,B,East,Bob,161
2927,C,South,Carol,269
2928,F,Central,Eve,164
2929,D,West,David,114
2930,F,Central,Eve,213
2931,A,North,Alice,255
2932,B,East,Bob,135
2933,C,South,Carol,155
2934,F,Central,Eve,273
2935,D,West,David,135
2936,F,Central,Eve,170
2937,A,North,Alice,138
2938,B,East,Bob,213
2939,C,South,Carol,156
2940,F,Central,Eve,139
2941,D,West,David,263
2942,F,Central,Eve,160
2943,A,North,Alice,148
2944,B,East,Bob,259
2945,C,South,Carol,273
2946,F,Central,Eve,212
2947,D,West,David,144
2948,F,Central,Eve,193
2949,A,North,Alice,198
2950,B,East,Bob,207
2951,C,South,Carol,236
2952,F,Central,Eve,165
2953,D,West,David,162
2954,F,Central,Eve,184
2955,A,North,Alice,145
2956,B,East,Bob,228
2957,C,South,Carol,213
2958,F,Central,Eve,146
2959,D,West,David,220
2960,F,Central,Eve,231
2961,A,North,Alice,212
2962,B,East,Bob,202
2963,C,South,Carol,208
2964,F,Central,Eve,200
2965,D,West,David,250
2966,F,Central,Eve,126
2967,A,North,Alice,222
2968,B,East,Bob,236
2969,C,South,Carol,165
2970,F,Central,Eve,162
2971,D,West,David,184
2972,F,Central,Eve,145
2973,A,North,Alice,228
2974,B,East,Bob,213
2975,C,South,Carol,146
2976,F,Central,Eve,220
2977,D,West,David,231
2978,F,Central,Eve,212
2979,A,North,Alice,202
2980,B,East,Bob,208
2981,C,South,Carol,200
2982,F,Central,Eve,250
2983,D,West,David,126
2984,F,Central,Eve,222
2985,A,North,Alice,273
2986,B,East,Bob,161
2987,C,South,Carol,236
2988,F,Central,Eve,281
2989,D,West,David,168
2990,F,Central,Eve,206
2991,A,North,Alice,144
2992,B,East,Bob,239
2993,C,South,Carol,129
2994,F,Central,Eve,201
2995,D,West,David,160
2996,F,Central,Eve,130
2997,A,North,Alice,132
2998,B,East,Bob,185
2999,C,South,Carol,271
3000,F,Central,Eve,168
3001,D,West,David,154
3002,F,Central,Eve,203
3003,A,North,Alice,274
3004,B,East,Bob,280
3005,C,South,Carol,196
3006,F,Central,Eve,159
3007,D,West,David,269
3008,F,Central,Eve,161
3009,A,North,Alice,159
3010,B,East,Bob,147
3011,C,South,Carol,214
3012,F,Central,Eve,157
3013,D,West,David,147
3014,F,Central,Eve,182
3015,A,North,Alice,188
3016,B,East,Bob,104
3017,C,South,Carol,195
3018,F,Central,Eve,235
3019,D,West,David,219
3020,F,Central,Eve,253
3021,A,North,Alice,253
3022,B,East,Bob,167
3023,C,South,Carol,211
3024,F,Central,Eve,155
3025,D,West,David,231
3026,F,Central,Eve,182
3027,A,North,Alice,212
3028,B,East,Bob,107
3029,C,South,Carol,172
3030,F,Central,Eve,224
3031,D,West,David,209
3032,F,Central,Eve,268
3033,A,North,Alice,141
3034,B,East,Bob,260
3035,C,South,Carol,151
3036,F,Central,Eve,184
3037,D,West,David,270
3038,F,Central,Eve,135
3039,A,North,Alice,276
3040,B,East,Bob,177
3041,C,South,Carol,149
3042,F,Central,Eve,220
3043,D,West,David,267
3044,F,Central,Eve,274
3045,A,North,Alice,243
3046,B,East,Bob,166
3047,C,South,Carol,225
3048,F,Central,Eve,138
3049,D,West,David,141
3050,F,Central,Eve,271
3051,A,North,Alice,243
3052,B,East,Bob,231
3053,C,South,Carol,168
3054,F,Central,Eve,264
3055,D,West,David,233
3056,F,Central,Eve,247
3057,A,North,Alice,176
3058,B,East,Bob,257
3059,C,South,Carol,147
3060,F,Central,Eve,195
3061,D,West,David,153
3062,F,Central,Eve,237
3063,A,North,Alice,217
3064,B,East,Bob,140
3065,C,South,Carol,164
3066,F,Central,Eve,243
3067,D,West,David,158
3068,F,Central,Eve,180
3069,A,North,Alice,139
3070,B,East,Bob,162
3071,C,South,Carol,206
3072,F,Central,Eve,238
3073,D,West,David,254
3074,F,Central,Eve,270
3075,A,North,Alice,255
3076,B,East,Bob,182
3077,C,South,Carol,149
3078,F,Central,Eve,221
3079,D,West,David,135
3080,F,Central,Eve,188
3081,A,North,Alice,194
3082,B,East,Bob,134
3083,C,South,Carol,210
3084,F,Central,Eve,169
3085,D,West,David,147
3086,F,Central,Eve,213
3087,A,North,Alice,223
3088,B,East,Bob,233
3089,C,South,Carol,218
3090,F,Central,Eve,219
3091,D,West,David,145
3092,F,Central,Eve,257
3093,A,North,Alice,238
3094,B,East,Bob,145
3095,C,South,Carol,243
3096,F,Central,Eve,179
3097,D,West,David,188
3098,F,Central,Eve,168
3099,A,North,Alice,157
3100,B,East,Bob,172
3101,C,South,Carol,195
3102,F,Central,Eve,225
3103,D,West,David,227
3104,F,Central,Eve,159
3105,A,North,Alice,273
3106,B,East,Bob,214
3107,C,South,Carol,175
3108,F,Central,Eve,213
3109,D,West,David,190
3110,F,Central,Eve,265
3111,A,North,Alice,146
3112,B,East,Bob,229
3113,C,South,Carol,195
3114,F,Central,Eve,151
3115,D,West,David,217
3116,F,Central,Eve,134
3117,A,North,Alice,195
3118,B,East,Bob,142
3119,C,South,Carol,182
3120,F,Central,Eve,155
3121,D,West,David,238
3122,F,Central,Eve,182
3123,A,North,Alice,237
3124,B,East,Bob,222
3125,C,South,Carol,177
3126,F,Central,Eve,197
3127,D,West,David,224
3128,F,Central,Eve,193
3129,A,North,Alice,169
3130,B,East,Bob,248
3131,C,South,Carol,246
3132,F,Central,Eve,232
3133,D,West,David,251
3134,F,Central,Eve,163
3135,A,North,Alice,201
3136,B,East,Bob,141
3137,C,South,Carol,219
3138,F,Central,Eve,161
3139,D,West,David,225
3140,F,Central,Eve,277
3141,A,North,Alice,256
3142,B,East,Bob,153
3143,C,South,Carol,135
3144,F,Central,Eve,253
3145,D,West,David,139
3146,F,Central,Eve,136
3147,A,North,Alice,172
3148,B,East,Bob,272
3149,C,South,Carol,207
3150,F,Central,Eve,134
3151,D,West,David,238
3152,F,Central,Eve,274
3153,A,North,Alice,237
3154,B,East,Bob,153
3155,C,South,Carol,223
3156,F,Central,Eve,149
3157,D,West,David,132
3158,F,Central,Eve,246
3159,A,North,Alice,159
3160,B,East,Bob,162
3161,C,South,Carol,123
3162,F,Central,Eve,231
3163,D,West,David,213
3164,F,Central,Eve,160
3165,A,North,Alice,225
3166,B,East,Bob,178
3167,C,South,Carol,273
3168,F,Central,Eve,129
3169,D,West,David,273
3170,F,Central,Eve,161
3171,A,North,Alice,139
3172,B,East,Bob,136
3173,C,South,Carol,172
3174,F,Central,Eve,272
3175,D,West,David,207
3176,F,Central,Eve,134
3177,A,North,Alice,238
3178,B,East,Bob,274
3179,C,South,Carol,237
3180,F,Central,Eve,153
3181,D,West,David,223
3182,F,Central,Eve,149
3183,A,North,Alice,132
3184,B,East,Bob,246
3185,C,South,Carol,159
3186,F,Central,Eve,162
3187,D,West,David,123
3188,F,Central,Eve,231
3189,A,North,Alice,213
3190,B,East,Bob,160
3191,C,South,Carol,225
3192,F,Central,Eve,178
3193,D,West,David,273
3194,F,Central,Eve,129
3195,A,North,Alice,273
3196,B,East,Bob,161
3197,C,South,Carol,206
3198,F,Central,Eve,296
3199,D,West,David,249
3200,F,Central,Eve,301
3201,A,North,Alice,296
3202,B,East,Bob,205
3203,C,South,Carol,132
3204,F,Central,Eve,223
3205,D,West,David,190
3206,F,Central,Eve,194
3207,A,North,Alice,176
3208,B,East,Bob,227
3209,C,South,Carol,149
3210,F,Central,Eve,173
3211,D,West,David,181
3212,F,Central,Eve,251
3213,A,North,Alice,243
3214,B,East,Bob,210
3215,C,South,Carol,145
3216,F,Central,Eve,196
3217,D,West,David,154
3218,F,Central,Eve,164
3219,A,North,Alice,210
3220,B,East,Bob,212
3221,C,South,Carol,263
3222,F,Central,Eve,155
3223,D,West,David,223
3224,F,Central,Eve,269
3225,A,North,Alice,117
3226,B,East,Bob,151
3227,C,South,Carol,271
3228,F,Central,Eve,205
3229,D,West,David,210
3230,F,Central,Eve,133
3231,A,North,Alice,215
3232,B,East,Bob,140
3233,C,South,Carol,255
3234,F,Central,Eve,159
3235,D,West,David,169
3236,F,Central,Eve,182
3237,A,North,Alice,231
3238,B,East,Bob,177
3239,C,South,Carol,250
3240,F,Central,Eve,145
3241,D,West,David,117
3242,F,Central,Eve,170
3243,A,North,Alice,173
3244,B,East,Bob,232
3245,C,South,Carol,231
3246,F,Central,Eve,136
3247,D,West,David,189
3248,F,Central,Eve,222
3249,A,North,Alice,148
3250,B,East,Bob,265
3251,C,South,Carol,181
3252,F,Central,Eve,189
3253,D,West,David,160
3254,F,Central,Eve,235
3255,A,North,Alice,100
3256,B,East,Bob,135
3257,C,South,Carol,137
3258,F,Central,Eve,222
3259,D,West,David,246
3260,F,Central,Eve,202
3261,A,North,Alice,273
3262,B,East,Bob,248
3263,C,South,Carol,199
3264,F,Central,Eve,209
3265,D,West,David,216
3266,F,Central,Eve,227
3267,A,North,Alice,216
3268,B,East,Bob,242
3269,C,South,Carol,217
3270,F,Central,Eve,160
3271,D,West,David,141
3272,F,Central,Eve,263
3273,A,North,Alice,171
3274,B,East,Bob,195
3275,C,South,Carol,237
3276,F,Central,Eve,241
3277,D,West,David,134
3278,F,Central,Eve,156
3279,A,North,Alice,211
3280,B,East,Bob,243
3281,C,South,Carol,196
3282,F,Central,Eve,242
3283,D,West,David,175
3284,F,Central,Eve,155
3285,A,North,Alice,200
3286,B,East,Bob,191
3287,C,South,Carol,221
3288,F,Central,Eve,135
3289,D,West,David,152
3290,F,Central,Eve,172
3291,A,North,Alice,253
3292,B,East,Bob,270
3293,C,South,Carol,139
3294,F,Central,Eve,257
3295,D,West,David,155
3296,F,Central,Eve,125
3297,A,North,Alice,233
3298,B,East,Bob,205
3299,C,South,Carol,243
3300,F,Central,Eve,208
3301,D,West,David,230
3302,F,Central,Eve,205
3303,A,North,Alice,170
3304,B,East,Bob,222
3305,C,South,Carol,186
3306,F,Central,Eve,208
3307,D,West,David,223
3308,F,Central,Eve,154
3309,A,North,Alice,235
3310,B,East,Bob,271
3311,C,South,Carol,250
3312,F,Central,Eve,206
3313,D,West,David,153
3314,F,Central,Eve,212
3315,A,North,Alice,168
3316,B,East,Bob,171
3317,C,South,Carol,132
3318,F,Central,Eve,141
3319,D,West,David,254
3320,F,Central,Eve,159
3321,A,North,Alice,194
3322,B,East,Bob,178
3323,C,South,Carol,151
3324,F,Central,Eve,244
3325,D,West,David,237
3326,F,Central,Eve,241
3327,A,North,Alice,156
3328,B,East,Bob,243
3329,C,South,Carol,219
3330,F,Central,Eve,168
3331,D,West,David,224
3332,F,Central,Eve,216
3333,A,North,Alice,187
3334,B,East,Bob,204
3335,C,South,Carol,266
3336,F,Central,Eve,179
3337,D,West,David,184
3338,F,Central,Eve,204
3339,A,North,Alice,255
3340,B,East,Bob,272
3341,C,South,Carol,186
3342,F,Central,Eve,147
3343,D,West,David,145
3344,F,Central,Eve,255
3345,A,North,Alice,133
3346,B,East,Bob,155
3347,C,South,Carol,151
3348,F,Central,Eve,270
3349,D,West,David,234
3350,F,Central,Eve,186
3351,A,North,Alice,157
3352,B,East,Bob,268
3353,C,South,Carol,244
3354,F,Central,Eve,190
3355,D,West,David,161
3356,F,Central,Eve,162
3357,A,North,Alice,163
3358,B,East,Bob,211
3359,C,South,Carol,205
3360,F,Central,Eve,150
3361,D,West,David,209
3362,F,Central,Eve,250
3363,A,North,Alice,206
3364,B,East,Bob,244
3365,C,South,Carol,180
3366,F,Central,Eve,256
3367,D,West,David,273
3368,F,Central,Eve,178
3369,A,North,Alice,296
3370,B,East,Bob,249
3371,C,South,Carol,151
3372,F,Central,Eve,270
3373,D,West,David,234
3374,F,Central,Eve,186
3375,A,North,Alice,157
3376,B,East,Bob,268
3377,C,South,Carol,244
3378,F,Central,Eve,190
3379,D,West,David,161
3380,F,Central,Eve,162
3381,A,North,Alice,163
3382,B,East,Bob,211
3383,C,South,Carol,205
3384,F,Central,Eve,150
3385,D,West,David,209
3386,F,Central,Eve,250
3387,A,North,Alice,206
3388,B,East,Bob,244
3389,C,South,Carol,180
3390,F,Central,Eve,256
3391,D,West,David,273
3392,F,Central,Eve,178
3393,A,North,Alice,296
3394,B,East,Bob,275
3395,C,South,Carol,270
3396,F,Central,Eve,224
3397,D,West,David,172
3398,F,Central,Eve,176
3399,A,North,Alice,240
3400,B,East,Bob,213
3401,C,South,Carol,197
3402,F,Central,Eve,167
3403,D,West,David,180
3404,F,Central,Eve,119
3405,A,North,Alice,232
3406,B,East,Bob,139
3407,C,South,Carol,272
3408,F,Central,Eve,253
3409,D,West,David,188
3410,F,Central,Eve,202
3411,A,North,Alice,134
3412,B,East,Bob,110
3413,C,South,Carol,172
3414,F,Central,Eve,188
3415,D,West,David,258
3416,F,Central,Eve,234
3417,A,North,Alice,148
3418,B,East,Bob,194
3419,C,South,Carol,266
3420,F,Central,Eve,158
3421,D,West,David,228
3422,F,Central,Eve,159
3423,A,North,Alice,255
3424,B,East,Bob,213
3425,C,South,Carol,148
3426,F,Central,Eve,219
3427,D,West,David,168
3428,F,Central,Eve,148
3429,A,North,Alice,149
3430,B,East,Bob,245
3431,C,South,Carol,200
3432,F,Central,Eve,228
3433,D,West,David,175
3434,F,Central,Eve,201
3435,A,North,Alice,267
3436,B,East,Bob,217
3437,C,South,Carol,160
3438,F,Central,Eve,264
3439,D,West,David,179
3440,F,Central,Eve,259
3441,A,North,Alice,178
3442,B,East,Bob,242
3443,C,South,Carol,235
3444,F,Central,Eve,247
3445,D,West,David,240
3446,F,Central,Eve,252
3447,A,North,Alice,237
3448,B,East,Bob,161
3449,C,South,Carol,144
3450,F,Central,Eve,163
3451,D,West,David,246
3452,F,Central,Eve,213
3453,A,North,Alice,123
3454,B,East,Bob,192
3455,C,South,Carol,149
3456,F,Central,Eve,206
3457,D,West,David,243
3458,F,Central,Eve,136
3459,A,North,Alice,170
3460,B,East,Bob,180
3461,C,South,Carol,220
3462,F,Central,Eve,144
3463,D,West,David,271
3464,F,Central,Eve,186
3465,A,North,Alice,247
3466,B,East,Bob,202
3467,C,South,Carol,143
3468,F,Central,Eve,180
3469,D,West,David,221
3470,F,Central,Eve,173
3471,A,North,Alice,107
3472,B,East,Bob,259
3473,C,South,Carol,134
3474,F,Central,Eve,204
3475,D,West,David,161
3476,F,Central,Eve,100
3477,A,North,Alice,260
3478,B,East,Bob,196
3479,C,South,Carol,260
3480,F,Central,Eve,193
3481,D,West,David,258
3482,F,Central,Eve,254
3483,A,North,Alice,216
3484,B,East,Bob,273
3485,C,South,Carol,223
3486,F,Central,Eve,182
3487,D,West,David,201
3488,F,Central,Eve,249
3489,A,North,Alice,152
3490,B,East,Bob,244
3491,C,South,Carol,256
3492,F,Central,Eve,223
3493,D,West,David,185
3494,F,Central,Eve,166
3495,A,North,Alice,113
3496,B,East,Bob,134
3497,C,South,Carol,228
3498,F,Central,Eve,204
3499,D,West,David,152
3500,F,Central,Eve,195
3501,A,North,Alice,192
3502,B,East,Bob,247
3503,C,South,Carol,135
3504,F,Central,Eve,209
3505,D,West,David,173
3506,F,Central,Eve,222
3507,A,North,Alice,192
3508,B,East,Bob,206
3509,C,South,Carol,275
3510,F,Central,Eve,192
3511,D,West,David,121
3512,F,Central,Eve,177
3513,A,North,Alice,243
3514,B,East,Bob,262
3515,C,South,Carol,189
3516,F,Central,Eve,178
3517,D,West,David,232
3518,F,Central,Eve,254
3519,A,North,Alice,148
3520,B,East,Bob,253
3521,C,South,Carol,223
3522,F,Central,Eve,190
3523,D,West,David,181
3524,F,Central,Eve,226
3525,A,North,Alice,182
3526,B,East,Bob,191
3527,C,South,Carol,223
3528,F,Central,Eve,274
3529,D,West,David,218
3530,F,Central,Eve,197
3531,A,North,Alice,137
3532,B,East,Bob,163
3533,C,South,Carol,218
3534,F,Central,Eve,245
3535,D,West,David,181
3536,F,Central,Eve,222
3537,A,North,Alice,259
3538,B,East,Bob,157
3539,C,South,Carol,137
3540,F,Central,Eve,242
3541,D,West,David,154
3542,F,Central,Eve,150
3543,A,North,Alice,174
3544,B,East,Bob,265
3545,C,South,Carol,248
3546,F,Central,Eve,186
3547,D,West,David,152
3548,F,Central,Eve,163
3549,A,North,Alice,168
3550,B,East,Bob,102
3551,C,South,Carol,169
3552,F,Central,Eve,163
3553,D,West,David,154
3554,F,Central,Eve,271
3555,A,North,Alice,182
3556,B,East,Bob,173
3557,C,South,Carol,244
3558,F,Central,Eve,214
3559,D,West,David,210
3560,F,Central,Eve,194
3561,A,North,Alice,185
3562,B,East,Bob,121
3563,C,South,Carol,203
3564,F,Central,Eve,134
3565,D,West,David,263
3566,F,Central,Eve,279
3567,A,North,Alice,222
3568,B,East,Bob,233
3569,C,South,Carol,271
3570,F,Central,Eve,118
3571,D,West,David,183
3572,F,Central,Eve,217
3573,A,North,Alice,245
3574,B,East,Bob,143
3575,C,South,Carol,149
3576,F,Central,Eve,275
3577,D,West,David,168
3578,F,Central,Eve,102
3579,A,North,Alice,169
3580,B,East,Bob,163
3581,C,South,Carol,154
3582,F,Central,Eve,271
3583,D,West,David,182
3584,F,Central,Eve,173
3585,A,North,Alice,244
3586,B,East,Bob,214
3587,C,South,Carol,210
3588,F,Central,Eve,194
3589,D,West,David,185
3590,F,Central,Eve,121
3591,A,North,Alice,203
3592,B,East,Bob,134
3593,C,South,Carol,263
3594,F,Central,Eve,279
3595,D,West,David,222
3596,F,Central,Eve,233
3597,A,North,Alice,271
3598,B,East,Bob,118
3599,C,South,Carol,183
3600,F,Central,Eve,217
3601,D,West,David,245
3602,F,Central,Eve,143
3603,A,North,Alice,149
3604,B,East,Bob,275
3605,C,South,Carol,282
3606,F,Central,Eve,276
3607,D,West,David,244
3608,F,Central,Eve,258
3609,A,North,Alice,257
3610,B,East,Bob,195
3611,C,South,Carol,152
3612,F,Central,Eve,100
3613,D,West,David,248
3614,F,Central,Eve,274
3615,A,North,Alice,203
3616,B,East,Bob,194
3617,C,South,Carol,142
3618,F,Central,Eve,208
3619,D,West,David,237
3620,F,Central,Eve,210
3621,A,North,Alice,158
3622,B,East,Bob,148
3623,C,South,Carol,146
3624,F,Central,Eve,155
3625,D,West,David,233
3626,F,Central,Eve,165
3627,A,North,Alice,227
3628,B,East,Bob,197
3629,C,South,Carol,134
3630,F,Central,Eve,134
3631,D,West,David,194
3632,F,Central,Eve,172
3633,A,North,Alice,205
3634,B,East,Bob,191
3635,C,South,Carol,225
3636,F,Central,Eve,152
3637,D,West,David,249
3638,F,Central,Eve,136
3639,A,North,Alice,146
3640,B,East,Bob,259
3641,C,South,Carol,159
3642,F,Central,Eve,162
3643,D,West,David,205
3644,F,Central,Eve,155
3645,A,North,Alice,171
3646,B,East,Bob,244
3647,C,South,Carol,135
3648,F,Central,Eve,147
3649,D,West,David,245
3650,F,Central,Eve,266
3651,A,North,Alice,165
3652,B,East,Bob,226
3653,C,South,Carol,185
3654,F,Central,Eve,267
3655,D,West,David,169
3656,F,Central,Eve,191
3657,A,North,Alice,187
3658,B,East,Bob,265
3659,C,South,Carol,243
3660,F,Central,Eve,166
3661,D,West,David,249
3662,F,Central,Eve,271
3663,A,North,Alice,272
3664,B,East,Bob,226
3665,C,South,Carol,250
3666,F,Central,Eve,135
3667,D,West,David,274
3668,F,Central,Eve,184
3669,A,North,Alice,139
3670,B,East,Bob,198
3671,C,South,Carol,168
3672,F,Central,Eve,245
3673,D,West,David,251
3674,F,Central,Eve,153
3675,A,North,Alice,142
3676,B,East,Bob,148
3677,C,South,Carol,273
3678,F,Central,Eve,180
3679,D,West,David,158
3680,F,Central,Eve,240
3681,A,North,Alice,174
3682,B,East,Bob,186
3683,C,South,Carol,174
3684,F,Central,Eve,260
3685,D,West,David,258
3686,F,Central,Eve,262
3687,A,North,Alice,197
3688,B,East,Bob,238
3689,C,South,Carol,168
3690,F,Central,Eve,266
3691,D,West,David,251
3692,F,Central,Eve,272
3693,A,North,Alice,203
3694,B,East,Bob,168
3695,C,South,Carol,138
3696,F,Central,Eve,129
3697,D,West,David,178
3698,F,Central,Eve,211
3699,A,North,Alice,169
3700,B,East,Bob,267
3701,C,South,Carol,183
3702,F,Central,Eve,194
3703,D,West,David,151
3704,F,Central,Eve,225
3705,A,North,Alice,184
3706,B,East,Bob,269
3707,C,South,Carol,274
3708,F,Central,Eve,142
3709,D,West,David,140
3710,F,Central,Eve,219
3711,A,North,Alice,237
3712,B,East,Bob,140
3713,C,South,Carol,105
3714,F,Central,Eve,192
3715,D,West,David,154
3716,F,Central,Eve,165
3717,A,North,Alice,197
3718,B,East,Bob,274
3719,C,South,Carol,193
3720,F,Central,Eve,252
3721,D,West,David,224
3722,F,Central,Eve,230
3723,A,North,Alice,174
3724,B,East,Bob,226
3725,C,South,Carol,245
3726,F,Central,Eve,206
3727,D,West,David,241
3728,F,Central,Eve,148
3729,A,North,Alice,181
3730,B,East,Bob,146
3731,C,South,Carol,115
3732,F,Central,Eve,201
3733,D,West,David,273
3734,F,Central,Eve,228
3735,A,North,Alice,185
3736,B,East,Bob,170
3737,C,South,Carol,156
3738,F,Central,Eve,159
3739,D,West,David,263
3740,F,Central,Eve,159
3741,A,North,Alice,241
3742,B,East,Bob,167
3743,C,South,Carol,231
3744,F,Central,Eve,233
3745,D,West,David,256
3746,F,Central,Eve,205
3747,A,North,Alice,180
3748,B,East,Bob,187
3749,C,South,Carol,250
3750,F,Central,Eve,273
3751,D,West,David,224
3752,F,Central,Eve,195
3753,A,North,Alice,148
3754,B,East,Bob,181
3755,C,South,Carol,111
3756,F,Central,Eve,181
3757,D,West,David,108
3758,F,Central,Eve,188
3759,A,North,Alice,231
3760,B,East,Bob,230
3761,C,South,Carol,197
3762,F,Central,Eve,252
3763,D,West,David,237
3764,F,Central,Eve,182
3765,A,North,Alice,241
3766,B,East,Bob,247
3767,C,South,Carol,156
3768,F,Central,Eve,189
3769,D,West,David,240
3770,F,Central,Eve,196
3771,A,North,Alice,157
3772,B,East,Bob,203
3773,C,South,Carol,156
3774,F,Central,Eve,172
3775,D,West,David,204
3776,F,Central,Eve,283
3777,A,North,Alice,257
3778,B,East,Bob,147
3779,C,South,Carol,229
3780,F,Central,Eve,111
3781,D,West,David,231
3782,F,Central,Eve,197
3783,A,North,Alice,157
3784,B,East,Bob,201
3785,C,South,Carol,247
3786,F,Central,Eve,184
3787,D,West,David,144
3788,F,Central,Eve,245
3789,A,North,Alice,163
3790,B,East,Bob,154
3791,C,South,Carol,245
3792,F,Central,Eve,268
3793,D,West,David,180
3794,F,Central,Eve,230
3795,A,North,Alice,197
3796,B,East,Bob,252
3797,C,South,Carol,237
3798,F,Central,Eve,182
3799,D,West,David,241
3800,F,Central,Eve,247
3801,A,North,Alice,156
3802,B,East,Bob,189
3803,C,South,Carol,240
3804,F,Central,Eve,196
3805,D,West,David,157
3806,F,Central,Eve,203
3807,A,North,Alice,156
3808,B,East,Bob,172
3809,C,South,Carol,204
3810,F,Central,Eve,283
3811,D,West,David,257
3812,F,Central,Eve,147
3813,A,North,Alice,229
3814,B,East,Bob,111
3815,C,South,Carol,231
3816,F,Central,Eve,197
3817,D,West,David,157
3818,F,Central,Eve,201
3819,A,North,Alice,247
3820,B,East,Bob,184
3821,C,South,Carol,144
3822,F,Central,Eve,245
3823,D,West,David,163
3824,F,Central,Eve,154
3825,A,North,Alice,245
3826,B,East,Bob,268
3827,C,South,Carol,180
3828,F,Central,Eve,182
3829,D,West,David,164
3830,F,Central,Eve,136
3831,A,North,Alice,290
3832,B,East,Bob,134
3833,C,South,Carol,215
3834,F,Central,Eve,213
3835,D,West,David,132
3836,F,Central,Eve,220
3837,A,North,Alice,215
3838,B,East,Bob,212
3839,C,South,Carol,190
3840,F,Central,Eve,171
3841,D,West,David,153
3842,F,Central,Eve,164
3843,A,North,Alice,172
3844,B,East,Bob,199
3845,C,South,Carol,163
3846,F,Central,Eve,263
3847,D,West,David,156
3848,F,Central,Eve,206
3849,A,North,Alice,224
3850,B,East,Bob,221
3851,C,South,Carol,221
3852,F,Central,Eve,263
3853,D,West,David,148
3854,F,Central,Eve,232
3855,A,North,Alice,139
3856,B,East,Bob,185
3857,C,South,Carol,183
3858,F,Central,Eve,245
3859,D,West,David,159
3860,F,Central,Eve,249
3861,A,North,Alice,233
3862,B,East,Bob,226
3863,C,South,Carol,152
3864,F,Central,Eve,143
3865,D,West,David,218
3866,F,Central,Eve,209
3867,A,North,Alice,157
3868,B,East,Bob,218
3869,C,South,Carol,235
3870,F,Central,Eve,253
3871,D,West,David,211
3872,F,Central,Eve,265
3873,A,North,Alice,201
3874,B,East,Bob,216
3875,C,South,Carol,176
3876,F,Central,Eve,155
3877,D,West,David,266
3878,F,Central,Eve,250
3879,A,North,Alice,205
3880,B,East,Bob,175
3881,C,South,Carol,260
3882,F,Central,Eve,157
3883,D,West,David,282
3884,F,Central,Eve,238
3885,A,North,Alice,187
3886,B,East,Bob,104
3887,C,South,Carol,230
3888,F,Central,Eve,174
3889,D,West,David,237
3890,F,Central,Eve,202
3891,A,North,Alice,204
3892,B,East,Bob,243
3893,C,South,Carol,165
3894,F,Central,Eve,169
3895,D,West,David,197
3896,F,Central,Eve,263
3897,A,North,Alice,247
3898,B,East,Bob,207
3899,C,South,Carol,155
3900,F,Central,Eve,174
3901,D,West,David,220
3902,F,Central,Eve,192
3903,A,North,Alice,231
3904,B,East,Bob,237
3905,C,South,Carol,187
3906,F,Central,Eve,141
3907,D,West,David,272
3908,F,Central,Eve,229
3909,A,North,Alice,173
3910,B,East,Bob,271
3911,C,South,Carol,246
3912,F,Central,Eve,104
3913,D,West,David,121
3914,F,Central,Eve,212
3915,A,North,Alice,139
3916,B,East,Bob,250
3917,C,South,Carol,272
3918,F,Central,Eve,160
3919,D,West,David,170
3920,F,Central,Eve,260
3921,A,North,Alice,168
3922,B,East,Bob,261
3923,C,South,Carol,117
3924,F,Central,Eve,151
3925,D,West,David,181
3926,F,Central,Eve,251
3927,A,North,Alice,178
3928,B,East,Bob,227
3929,C,South,Carol,206
3930,F,Central,Eve,181
3931,D,West,David,117
3932,F,Central,Eve,187
3933,A,North,Alice,219
3934,B,East,Bob,280
3935,C,South,Carol,178
3936,F,Central,Eve,139
3937,D,West,David,137
3938,F,Central,Eve,248
3939,A,North,Alice,259
3940,B,East,Bob,139
3941,C,South,Carol,267
3942,F,Central,Eve,271
3943,D,West,David,181
3944,F,Central,Eve,222
3945,A,North,Alice,159
3946,B,East,Bob,238
3947,C,South,Carol,256
3948,F,Central,Eve,202
3949,D,West,David,258
3950,F,Central,Eve,174
3951,A,North,Alice,270
3952,B,East,Bob,215
3953,C,South,Carol,254
3954,F,Central,Eve,253
3955,D,West,David,269
3956,F,Central,Eve,224
3957,A,North,Alice,157
3958,B,East,Bob,250
3959,C,South,Carol,132
3960,F,Central,Eve,256
3961,D,West,David,237
3962,F,Central,Eve,199
